nombre_ascii,tipo,rango_o_categorias,procedencia,capas,acceso,transformacion,uso,publicabilidad
"PROLIFIC_PID","string nullable","ID asignado por Prolific; nulo en simulacion sin plataforma","Parametro de URL de Prolific","bruta; restringida para pagos","custodio y responsable de pagos","Normalizar espacios; generar participante_hmac con HMAC-SHA-256; no copiar a analitica","Control de duplicados; retirada; pago","NO: identificador de plataforma"
"STUDY_ID","string nullable","ID de estudio Prolific; nulo en simulacion sin plataforma","Parametro de URL de Prolific","bruta","custodio","Normalizar espacios; generar study_hmac con dominio propio","Auditoria de procedencia","NO: identificador de plataforma"
"SESSION_ID","string nullable","ID de sesion Prolific; nulo en simulacion sin plataforma","Parametro de URL de Prolific","bruta; restringida","custodio","Normalizar espacios; generar session_hmac con dominio propio","Idempotencia y enlace local con finalizacion","NO: identificador de plataforma"
"modo","string","docente","Parametro de URL o configuracion de la aplicacion","bruta","custodio; equipo tecnico","Validar valor constante","Impedir confundir la demostracion con produccion","NO: control interno"
"registro_id","string","Interno UUID en captura; publico SIM-000001..SIM-000500","Servidor o generador sintetico","bruta; restringida; analitica; publica sintetica","segun capa","Para publico sintetico se genera desde el indice de simulacion; nunca desde IDs Prolific","Clave de fila y trazabilidad del pipeline","SI solo como ID sintetico sin enlace"
"indice_asignacion","integer","0 o mayor; unico","Servidor de aleatorizacion","bruta; restringida","custodio y equipo tecnico","Reservar atomicamente; no reutilizar tras abandono","Auditar secuencia 1:1","NO: revela secuencia operativa"
"participante_hmac","string","64 caracteres hexadecimales","Derivada de PROLIFIC_PID","restringida","custodio; responsable de retirada","HMAC-SHA-256 con prefijo PROLIFIC_PID y secreto externo","Seudonimo para deduplicacion y retirada","NO: identificador enlazable"
"study_hmac","string","64 caracteres hexadecimales","Derivada de STUDY_ID","restringida","custodio","HMAC-SHA-256 con prefijo STUDY_ID y secreto externo","Auditoria de procedencia sin ID bruto","NO: identificador enlazable"
"session_hmac","string","64 caracteres hexadecimales","Derivada de SESSION_ID","restringida","custodio","HMAC-SHA-256 con prefijo SESSION_ID y secreto externo","Idempotencia y enlace restringido","NO: identificador enlazable"
"hmac_version","string","v1 o version posterior documentada","Configuracion del servidor","restringida","custodio","Asignar al crear cualquier HMAC","Rotacion y auditoria de claves","NO: metadato de seguridad"
"consentimiento","boolean","true; false","Formulario previo","bruta; restringida","custodio","Sin transformacion; solo true permite aleatorizar","Prueba de autorizacion para participar","NO: dato de proceso individual"
"edad_18_mas","boolean","true; false","Autodeclaracion de elegibilidad","bruta; restringida","custodio","Sin transformacion; no se recoge edad exacta","Elegibilidad minimizada","NO: elegibilidad individual"
"permiso_vigente","boolean","true; false","Autodeclaracion de elegibilidad","bruta; restringida","custodio","Sin transformacion; no se recoge numero ni pais","Elegibilidad como conductor adulto","NO: elegibilidad individual"
"comprende_espanol","boolean","true; false","Autodeclaracion de elegibilidad","bruta; restringida","custodio","Sin transformacion","Comprobar comprension de instrucciones","NO: elegibilidad individual"
"no_conduce_ahora","boolean","true; false","Confirmacion previa","bruta; restringida","custodio","Sin transformacion","Seguridad durante la tarea","NO: dato de proceso individual"
"orden","string","naranja_primero; platano_primero","Asignacion aleatoria del servidor","bruta; restringida; analitica; publica sintetica","segun capa","Validar contra indice y simbolo_primero","Brazo entre sujetos; ajuste de orden","SI solo sintetico_docente"
"simbolo_primero","string","naranja; platano","Derivada de orden","bruta; restringida; analitica; publica sintetica","segun capa","naranja_primero a naranja; platano_primero a platano","Definir resultado primario","SI solo sintetico_docente"
"velocidad_primera_kmh","integer","30; 50; 70; 90; 110; 130","Primera pantalla experimental","bruta; restringida; analitica; publica sintetica","segun capa","Copiar la velocidad de la fruta mostrada primero; validar pertenencia","Resultado confirmatorio","SI solo sintetico_docente"
"velocidad_naranja_kmh","integer","30; 50; 70; 90; 110; 130","Pantalla donde aparece naranja","bruta; restringida; analitica; publica sintetica","segun capa","Mapear desde pantalla segun orden; no inferir por magnitud","Analisis dentro del sujeto y regresion","SI solo sintetico_docente"
"velocidad_platano_kmh","integer","30; 50; 70; 90; 110; 130","Pantalla donde aparece platano","bruta; restringida; analitica; publica sintetica","segun capa","Mapear desde pantalla segun orden; no inferir por magnitud","Analisis dentro del sujeto y regresion","SI solo sintetico_docente"
"confianza_naranja","integer","0..100","Respuesta explicita tras naranja","bruta; restringida; analitica; publica sintetica","segun capa","Validar entero; mapear desde pantalla segun orden","Calibracion y analisis secundario","SI solo sintetico_docente"
"confianza_platano","integer","0..100","Respuesta explicita tras platano","bruta; restringida; analitica; publica sintetica","segun capa","Validar entero; mapear desde pantalla segun orden","Calibracion y analisis secundario","SI solo sintetico_docente"
"tiempo_primera_s","number","0 o mayor; precision de milisegundos","Diferencia monotona entre render y envio valido de pantalla 1","bruta; restringida; analitica; publica sintetica","segun capa","Restar marcas monotonicamente; no redondear antes de excluir","Regla de speeder y descripcion","SI solo sintetico_docente; no es timestamp"
"tiempo_segunda_s","number","0 o mayor; precision de milisegundos","Diferencia monotona entre render y envio valido de pantalla 2","bruta; restringida; analitica; publica sintetica","segun capa","Restar marcas monotonicamente; no redondear antes de excluir","Regla de speeder y descripcion","SI solo sintetico_docente; no es timestamp"
